"state","year","pct_D","pct_R","pct_I","win_D","win_R","win_I"
"GA",1998,52.4917,44.0762,3.4321,1,0,0
"GA",2002,46.2122,51.42,2.36781,0,1,0
"GA",2006,38.2176,57.9461,3.83623,0,1,0
"GA",2010,42.9734,53.0207,4.00592,0,1,0
"HI",1959,48.6618,51.1158,0.222338,0,1,0
"HI",1962,58.3159,41.6841,0,1,0,NA
"HI",1966,51.0593,48.9407,0,1,0,NA
"HI",1970,57.6472,42.3528,0,1,0,NA
"HI",1974,54.5812,45.4188,0,1,0,NA
"HI",1978,54.4748,44.2528,0.703868,1,0,0
"HI",1986,51.9746,48.0254,0,1,0,NA
"HI",1990,59.8271,38.6056,0.8482,1,0,0
"HI",1998,50.6516,49.3484,0,1,0,NA
"HI",2002,47.0145,51.5582,0.670226,0,1,0
"HI",2006,35.3505,62.5337,1.5785,0,1,0
"HI",2010,58.2189,41.1203,0.330664,1,0,0
"IA",1946,42.1399,57.4011,0.458934,0,1,0
"IA",1948,43.6689,55.6778,0.358855,0,1,0
"IA",1950,40.5006,59.1034,0.327223,0,1,0
"IA",1952,47.7767,51.8999,0.225603,0,1,0
"IA",1954,48.3454,51.3726,0.281997,0,1,0
"IA",1956,51.2236,48.7764,0,1,0,NA
"IA",1958,54.1295,45.8705,0,1,0,NA
"IA",1960,47.8594,52.1406,0,0,1,NA
"IA",1962,52.558,47.442,0,1,0,NA
"IA",1964,68.0476,31.2686,0.683808,1,0,0
"IA",1966,55.3375,44.1704,0.412015,1,0,0
"IA",1968,45.8622,54.0552,0.0825354,0,1,0
"IA",1970,46.6245,50.9826,2.39283,0,1,0
"IA",1972,40.2654,58.436,1.29857,0,1,0
"IA",1974,41.0208,58.0749,0.904287,0,1,0
"IA",1978,40.9813,58.3211,0.468145,0,1,0
"IA",1982,46.5743,52.8404,0.318692,0,1,0
"IA",1986,48.0364,51.9636,0,0,1,NA
"IA",1990,38.8905,60.6725,0.437012,0,1,0
"IA",1994,42.0187,57.4232,0.558117,0,1,0
"IA",1998,52.9335,47.0665,0,1,0,NA
"IA",2002,52.6844,44.618,1.42463,1,0,0
"IA",2006,54.0892,44.4318,0.746194,1,0,0
"IA",2010,43.3169,52.9395,1.86376,0,1,0
"ID",1946,43.631,56.369,0,0,1,NA
"ID",1950,47.4384,52.5616,0,0,1,NA
"ID",1954,45.7603,54.2397,0,0,1,NA
"ID",1958,49.0433,50.9567,0,0,1,NA
"ID",1962,45.3608,54.6392,0,0,1,NA
"ID",1966,37.1437,41.4396,12.2485,0,1,0
"ID",1970,52.2227,47.7773,0,1,0,NA
"ID",1974,70.9287,26.4684,2.6029,1,0,0
"ID",1978,58.7526,39.5573,1.69008,1,0,0
"ID",1982,50.6444,49.3556,0,1,0,NA
"ID",1986,49.9267,48.9885,1.08485,1,0,0
"ID",1990,68.2053,31.7947,0,1,0,NA
"ID",1994,43.8839,52.2947,3.82139,0,1,0
"ID",1998,29.0664,67.6974,3.23621,0,1,0
"ID",2002,41.7322,56.278,1.98982,0,1,0
"ID",2006,44.1062,52.6664,1.62122,0,1,0
"ID",2010,32.8549,59.1077,5.89015,0,1,0
"IL",1948,57.1049,42.5864,0.240873,1,0,0
"IL",1952,47.3231,52.4782,0.198761,0,1,0
"IL",1956,49.4814,50.3361,0.182498,0,1,0
"IL",1960,55.5119,44.296,0.192033,1,0,0
"IL",1964,51.9248,48.0752,0,1,0,NA
"IL",1968,48.3692,51.2053,0.425546,0,1,0
"IL",1972,50.6941,49.0374,0.170298,1,0,0
"IL",1976,34.7138,64.6822,0.217541,0,1,0
"IL",1978,40.0995,59.0376,0.36254,0,1,0
"IL",1982,49.2992,49.4373,0.664671,0,1,0
"IL",1990,48.1738,50.7497,1.07653,0,1,0
"IL",1994,35.0292,64.9708,0,0,1,NA
"IL",1998,48.1878,51.8122,0,0,1,NA
"IL",2002,52.1927,45.0696,2.08523,1,0,0
"IL",2006,49.7961,39.2549,10.3584,1,0,0
"IL",2010,46.7919,45.9384,3.63845,1,0,0
"IN",1948,53.561,45.1423,0.822,1,0,0
"IN",1952,43.5839,55.6811,0.649837,0,1,0
"IN",1956,43.9747,55.6145,0.347492,0,1,0
"IN",1960,50.3868,49.2981,0.276754,1,0,0
"IN",1964,56.1856,43.4788,0.27838,1,0,0
"IN",1968,47.1343,52.72,0.145676,0,1,0
"IN",1972,42.4589,56.7652,0.401962,0,1,0
"IN",1976,42.6255,56.8446,0.452806,0,1,0
"IN",1980,41.9168,57.7204,0.362835,0,1,0
"IN",1984,47.176,52.1612,0.339174,0,1,0
"IN",1988,53.185,46.815,0,1,0,NA
"IN",1992,62.6916,37.3084,0,1,0,NA
"IN",1996,52.4142,47.5858,0,1,0,NA
"IN",2000,56.5568,41.6784,1.76472,1,0,0
"IN",2004,45.4927,53.2129,1.29444,0,1,0
"IN",2008,40.0356,57.8413,2.12209,0,1,0
"IN",2012,46.5608,49.4867,3.9525,0,1,0
"KS",1946,44.0169,53.4996,2.16672,0,1,0
"KS",1948,40.4369,56.9953,2.24025,0,1,0
"KS",1950,44.484,53.7697,1.52282,0,1,0
"KS",1952,41.6771,56.3371,1.76222,0,1,0
"KS",1954,45.969,52.9795,0.888324,0,1,0
"KS",1956,55.4609,42.1234,2.41567,1,0,0
"KS",1958,56.4593,42.5356,1.00511,1,0,0
"KS",1960,43.6045,55.4495,0.945994,0,1,0
"KS",1962,45.5995,53.4224,0.978099,0,1,0
"KS",1964,47.067,50.8772,1.38944,0,1,0
"KS",1966,54.8419,43.917,0.684316,1,0,0
"KS",1968,51.8591,47.6159,0.525004,1,0,0
"KS",1970,54.2964,44.7171,0.578644,1,0,0
"KS",1972,61.9885,37.0505,0.960988,1,0,0
"KS",1974,49.0021,49.4712,1.52677,0,1,0
"KS",1978,49.4176,47.2688,2.31621,1,0,0
"KS",1982,53.1628,44.4612,0.99507,1,0,0
"KS",1986,48.1008,51.8992,0,0,1,NA
"KS",1990,48.5889,42.5863,8.82482,1,0,0
"KS",1994,35.906,64.094,0,0,1,NA
"KS",1998,22.8953,74.1503,2.9544,0,1,0
"KS",2002,52.8733,45.092,1.06582,1,0,0
"KS",2006,57.9022,40.4363,1.04696,1,0,0
"KS",2010,32.2093,63.2774,2.67769,0,1,0
"KY",1947,57.2409,42.4745,0.284584,1,0,0
"KY",1951,54.5976,45.4024,0,1,0,NA
"KY",1955,58.0159,41.4484,0.345156,1,0,0
"KY",1959,60.5564,39.4436,0,1,0,NA
"KY",1963,50.7367,49.2633,0,1,0,NA
"KY",1967,47.9932,51.2007,0.806024,0,1,0
"KY",1971,50.5721,44.3336,4.24295,1,0,0
"KY",1975,62.8423,37.1577,0,1,0,NA
"KY",1979,59.4867,40.5133,0,1,0,NA
"KY",1983,54.496,44.112,1.39201,1,0,0
"KY",1987,64.8836,35.1164,0,1,0,NA
"KY",1991,64.7329,35.2671,0,1,0,NA
"KY",1995,51.1,48.9,0,1,0,NA
"KY",1999,61.0487,22.3299,15.4191,1,0,0
"KY",2003,44.964,55.036,0,0,1,NA
"KY",2007,58.7072,41.2928,0,1,0,NA
"KY",2011,55.7224,35.2923,8.9853,1,0,0
"LA",1948,100,0,0,1,0,NA
"LA",1952,95.9913,4.0087,0,1,0,NA
"LA",1956,100,0,0,1,0,NA
"LA",1960,80.5246,17.0038,2.47156,1,0,0
"LA",1964,60.7206,38.5012,0.778163,1,0,0
"LA",1968,100,0,0,1,0,NA
"LA",1972,57.165,42.835,0,1,0,NA
"MA",1946,45.3085,54.1243,0.424131,0,1,0
"MA",1948,59.0331,40.4858,0.345791,1,0,0
"MA",1950,56.2555,43.1413,0.408657,1,0,0
"MA",1952,49.2938,49.9073,0.318383,0,1,0
"MA",1954,47.8044,51.7572,0.302873,0,1,0
"MA",1956,52.7644,46.8727,0.247834,1,0,0
"MA",1958,56.1856,43.0974,0.41446,1,0,0
"MA",1960,46.7862,52.5159,0.391978,0,1,0
"MA",1962,49.9422,49.6847,0.259686,1,0,0
"MA",1964,49.2941,50.2791,0.268093,0,1,0
"MA",1966,36.878,62.5815,0.320365,0,1,0
"MA",1970,42.7914,56.6767,0.361222,0,1,0
"MA",1974,53.5002,42.2893,3.40119,1,0,0
"MA",1978,52.6637,47.3363,0,1,0,NA
"MA",1982,59.4753,36.5737,3.07683,1,0,0
"MA",1986,68.7869,31.2131,0,1,0,NA
"MA",1990,47.018,50.2643,2.68045,0,1,0
"MA",1994,28.5145,71.4855,0,0,1,NA
"MA",1998,47.4358,50.8714,1.69284,0,1,0
"MA",2002,44.9629,49.797,3.48993,0,1,0
"MA",2006,55.7015,35.3762,6.97419,1,0,0
"MA",2010,48.4773,42.0524,8.0366,1,0,0
"MD",1946,54.7293,45.2707,0,1,0,NA
"MD",1950,42.7216,57.2784,0,0,1,NA
"MD",1954,45.5447,54.4553,0,0,1,NA
"MD",1958,63.5534,36.4466,0,1,0,NA
"MD",1962,55.6412,44.3588,0,1,0,NA
"MD",1966,40.6131,49.504,9.8829,0,1,0
"MD",1970,65.726,32.3026,1.97143,1,0,0
"MD",1974,63.497,36.503,0,1,0,NA
"MD",1978,70.9836,29.0164,0,1,0,NA
"MD",1982,61.9907,38.0093,0,1,0,NA
"MD",1986,82.3705,17.6295,0,1,0,NA
"MD",1990,59.7604,40.2276,0.0120598,1,0,0
"MD",1994,50.2125,49.7875,0,1,0,NA
"MD",1998,55.1655,44.8345,0,1,0,NA
"MD",2002,47.6947,51.6287,0.676611,0,1,0
"MD",2006,52.7363,46.1985,0.870339,1,0,0
"MD",2010,56.2911,41.8196,0.761547,1,0,0
"ME",1946,38.6905,61.3095,0,0,1,NA
"ME",1948,34.4018,65.5982,0,0,1,NA
"ME",1950,39.1016,60.4631,0.435365,0,1,0
"ME",1952,33.443,52.079,14.478,0,1,0
"ME",1954,54.4935,45.5065,0,1,0,NA
"ME",1956,59.1678,40.8322,0,1,0,NA
"ME",1958,51.9806,48.0194,0,1,0,NA
"ME",1960,47.325,52.675,0,0,1,NA
"ME",1962,49.9175,50.0825,0,0,1,NA
"ME",1966,53.1241,46.8759,0,1,0,NA
"ME",1970,50.1368,49.8632,0,1,0,NA
"ME",1978,47.7173,34.2989,17.814,1,0,0
"ME",1982,61.0697,37.5782,0.793068,1,0,0
"ME",1986,30.1616,39.9,15.0679,0,1,0
"ME",1990,44.0533,46.6823,9.26441,0,1,0
"ME",2002,47.0899,41.4023,9.3112,1,0,0
"ME",2006,38.1086,30.2116,21.5507,1,0,0
"MI",1946,38.7003,60.2762,0.718959,0,1,0
"MI",1948,53.4124,45.6582,0.721637,1,0,0
"MI",1950,49.7587,49.6973,0.452864,1,0,0
"MI",1952,49.9618,49.6611,0.31368,1,0,0
"MI",1954,55.6147,44.0461,0.266298,1,0,0
"MI",1956,54.6527,45.133,0.214389,1,0,0
"MI",1958,53.0033,46.6264,0.172261,1,0,0
"MI",1960,50.4808,49.2028,0.104025,1,0,0
"MI",1962,48.4485,51.3627,0.188765,0,1,0
"MI",1964,43.7443,55.8696,0.17888,0,1,0
"MI",1966,39.1328,60.5415,0.325652,0,1,0
"MI",1970,48.7427,50.4035,0.677262,0,1,0
"MI",1974,46.7537,51.0676,1.07922,0,1,0
"MI",1978,43.174,56.826,0,0,1,NA
"MI",1982,51.3619,45.0553,2.64124,1,0,0
"MI",1986,68.1403,31.4641,0.395656,1,0,0
"MI",1990,49.1087,49.7952,1.09612,0,1,0
"MI",1994,38.4914,61.5086,0,0,1,NA
"MI",1998,37.7844,62.2156,0,0,1,NA
"MI",2002,51.3683,47.4137,0.806544,1,0,0
"MI",2006,56.3638,42.3045,0.618854,1,0,0
"MI",2010,39.9038,58.1153,0.694035,0,1,0
"MN",1946,39.7076,58.9616,1.33084,0,1,0
"MN",1948,45.0707,53.1497,1.23465,0,1,0
"MN",1950,38.2787,60.7472,0.974077,0,1,0
"MN",1952,44.0125,55.3346,0.368392,0,1,0
"MN",1954,52.7262,46.8002,0.47359,1,0,0
"MN",1956,51.4133,48.1799,0.406775,1,0,0
"MN",1958,56.7564,42.3075,0.936103,1,0,0
"MN",1960,49.0841,50.5599,0.355939,0,1,0
"MN",1962,49.7105,49.7032,0.586332,1,0,0
"MN",1966,46.9433,52.5531,0.503607,0,1,0
"MN",1970,54.0426,45.5369,0.350143,1,0,0
"MN",1974,62.8048,29.3532,4.80144,1,0,0
"MN",1978,45.2981,52.3475,1.32808,0,1,0
"MN",1982,58.7556,39.8645,0.578649,1,0,0
"MN",1986,56.1136,43.0902,0.298842,1,0,0
"MN",1990,46.7641,50.1066,1.18216,0,1,0
"MN",1994,35.0069,64.9931,0,0,1,NA
"MN",2002,36.4871,44.393,16.1938,0,1,0
"MN",2006,45.7523,46.7109,6.43668,0,1,0
"MN",2010,43.6657,43.2491,11.9462,1,0,0
"MO",1948,56.9815,42.7517,0.183368,1,0,0
"MO",1952,52.5479,47.3689,0.0486906,1,0,0
